content,score,at,translated_content,cleaned_content,tokenized_content,initial_token_count,stopword_removed_content,token_count,stemmed_content,ulasan_bersih,skor_lexicon,skor_lexicon_ke_score,sentimen_multiclass
"Awalnya sangat kesulitan untuk login di android tv dan cuma bisa via anycast,tapi setelah lihat tutorial di ytub akhirnya berhasil juga.Sangat memuaskan, paket langganan per tahun sangat murah di banding lainya, audio dan video juga baik sekali di tempat saya, HD dan dolby atmos. Saya sarankan channel WILD ANIMAL bisa bahasa indonesia akan sangat membantu ibu saya dalam menonton.... Dan satu lagi, pembayaran via gopay sangat membantu saya yg tidak punya credit card, apalagi kalau bisa via BRI.",5,2022-12-28 01:24:53,"Awalnya sangat kesulitan untuk login di android tv dan cuma bisa via anycast,tapi setelah lihat tutorial di ytub akhirnya berhasil juga.Sangat memuaskan, paket langganan per tahun sangat murah di banding lainya, audio dan video juga baik sekali di tempat saya, HD dan dolby atmos. Saya sarankan channel WILD ANIMAL bisa bahasa indonesia akan sangat membantu ibu saya dalam menonton.... Dan satu lagi, pembayaran via gopay sangat membantu saya yg tidak punya credit card, apalagi kalau bisa via BRI.",awalnya sangat kesulitan untuk login di android tv dan cuma bisa via anycasttapi setelah lihat tutorial di ytub akhirnya berhasil jugasangat memuaskan paket langganan per tahun sangat murah di banding lainya audio dan video juga baik sekali di tempat saya hd dan dolby atmos saya sarankan channel wild animal bisa bahasa indonesia akan sangat membantu ibu saya dalam menonton dan satu lagi pembayaran via gopay sangat membantu saya yg tidak punya credit card apalagi kalau bisa via bri,"['awalnya', 'sangat', 'kesulitan', 'untuk', 'login', 'di', 'android', 'tv', 'dan', 'cuma', 'bisa', 'via', 'anycasttapi', 'setelah', 'lihat', 'tutorial', 'di', 'ytub', 'akhirnya', 'berhasil', 'jugasangat', 'memuaskan', 'paket', 'langganan', 'per', 'tahun', 'sangat', 'murah', 'di', 'banding', 'lainya', 'audio', 'dan', 'video', 'juga', 'baik', 'sekali', 'di', 'tempat', 'saya', 'hd', 'dan', 'dolby', 'atmos', 'saya', 'sarankan', 'channel', 'wild', 'animal', 'bisa', 'bahasa', 'indonesia', 'akan', 'sangat', 'membantu', 'ibu', 'saya', 'dalam', 'menonton', 'dan', 'satu', 'lagi', 'pembayaran', 'via', 'gopay', 'sangat', 'membantu', 'saya', 'yg', 'tidak', 'punya', 'credit', 'card', 'apalagi', 'kalau', 'bisa', 'via', 'bri']",78,"['kesulitan', 'login', 'android', 'tv', 'via', 'anycasttapi', 'lihat', 'tutorial', 'ytub', 'berhasil', 'jugasangat', 'memuaskan', 'paket', 'langganan', 'murah', 'banding', 'lainya', 'audio', 'video', 'hd', 'dolby', 'atmos', 'sarankan', 'channel', 'wild', 'animal', 'bahasa', 'indonesia', 'membantu', 'menonton', 'pembayaran', 'via', 'gopay', 'membantu', 'credit', 'card', 'via', 'bri']",38,"['sulit', 'login', 'android', 'tv', 'via', 'anycasttapi', 'lihat', 'tutorial', 'ytub', 'hasil', 'jugasangat', 'muas', 'paket', 'langgan', 'murah', 'banding', 'lai', 'audio', 'video', 'hd', 'dolby', 'atmos', 'saran', 'channel', 'wild', 'animal', 'bahasa', 'indonesia', 'bantu', 'tonton', 'bayar', 'via', 'gopay', 'bantu', 'credit', 'card', 'via', 'bri']",sulit login android tv via anycasttapi lihat tutorial ytub hasil jugasangat muas paket langgan murah banding lai audio video hd dolby atmos saran channel wild animal bahasa indonesia bantu tonton bayar via gopay bantu credit card via bri,-10,1,Negatif
Lumayan buat nonton kalau lagi gk jualan bisa nonton dirmh sambil rebahan,5,2022-12-27 22:16:02,Bersikaplah baik untuk menontonnya jika Anda tidak mampu menonton di rumah saat direbus,bersikaplah baik untuk menontonnya jika anda tidak mampu menonton di rumah saat direbus,"['bersikaplah', 'baik', 'untuk', 'menontonnya', 'jika', 'anda', 'tidak', 'mampu', 'menonton', 'di', 'rumah', 'saat', 'direbus']",13,"['bersikaplah', 'menontonnya', 'menonton', 'rumah', 'direbus']",5,"['sikap', 'tonton', 'tonton', 'rumah', 'rebus']",sikap tonton tonton rumah rebus,-3,2,Negatif
tambahkan opsi milih resolusi dong,3,2022-12-27 17:01:39,tambahkan opsi milih resolusi dong,tambahkan opsi milih resolusi dong,"['tambahkan', 'opsi', 'milih', 'resolusi', 'dong']",5,"['tambahkan', 'opsi', 'milih', 'resolusi']",4,"['tambah', 'opsi', 'milih', 'resolusi']",tambah opsi milih resolusi,4,5,Positif
Please help me to connect to my smart tv. When i log in to activate there only Otp directly to the web not asking me to input the 4 digit from my tv. Tolong bantu saya biar bisa nonton di tv. Tiap kali active kan di crime cuma nanya no hp saja lalu otp langsung masuk ke web nga ada kolom buat isi 4 digit di tv saya,1,2022-12-27 16:05:48,Please help me to connect to my smart tv. When i log in to activate there only Otp directly to the web not asking me to input the 4 digit from my tv. Tolong bantu saya biar bisa nonton di tv. Tiap kali active kan di crime cuma nanya no hp saja lalu otp langsung masuk ke web nga ada kolom buat isi 4 digit di tv saya,please help me to connect to my smart tv when i log in to activate there only otp directly to the web not asking me to input the digit from my tv tolong bantu saya biar bisa nonton di tv tiap kali active kan di crime cuma nanya no hp saja lalu otp langsung masuk ke web nga ada kolom buat isi digit di tv saya,"['please', 'help', 'me', 'to', 'connect', 'to', 'my', 'smart', 'tv', 'when', 'i', 'log', 'in', 'to', 'activate', 'there', 'only', 'otp', 'directly', 'to', 'the', 'web', 'not', 'asking', 'me', 'to', 'input', 'the', 'digit', 'from', 'my', 'tv', 'tolong', 'bantu', 'saya', 'biar', 'bisa', 'nonton', 'di', 'tv', 'tiap', 'kali', 'active', 'kan', 'di', 'crime', 'cuma', 'nanya', 'no', 'hp', 'saja', 'lalu', 'otp', 'langsung', 'masuk', 'ke', 'web', 'nga', 'ada', 'kolom', 'buat', 'isi', 'digit', 'di', 'tv', 'saya']",66,"['please', 'help', 'me', 'to', 'connect', 'to', 'my', 'smart', 'tv', 'when', 'i', 'log', 'in', 'to', 'activate', 'there', 'only', 'otp', 'directly', 'to', 'the', 'web', 'not', 'asking', 'me', 'to', 'input', 'the', 'digit', 'from', 'my', 'tv', 'bantu', 'biar', 'nonton', 'tv', 'kali', 'active', 'crime', 'nanya', 'no', 'hp', 'otp', 'langsung', 'masuk', 'web', 'nga', 'kolom', 'isi', 'digit', 'tv']",51,"['please', 'help', 'me', 'to', 'connect', 'to', 'my', 'smart', 'tv', 'when', 'i', 'log', 'in', 'to', 'activate', 'there', 'only', 'otp', 'directly', 'to', 'the', 'web', 'not', 'asking', 'me', 'to', 'input', 'the', 'digit', 'from', 'my', 'tv', 'bantu', 'biar', 'nonton', 'tv', 'kali', 'active', 'crime', 'nanya', 'no', 'hp', 'otp', 'langsung', 'masuk', 'web', 'nga', 'kolom', 'isi', 'digit', 'tv']",please help me to connect to my smart tv when i log in to activate there only otp directly to the web not asking me to input the digit from my tv bantu biar nonton tv kali active crime nanya no hp otp langsung masuk web nga kolom isi digit tv,-13,1,Negatif
"Sudah berlangganan 1 tahun, tapi diminta berlangganan saat mau nonton.",1,2022-12-27 15:54:13,"Sudah berlangganan 1 tahun, tapi diminta berlangganan saat mau nonton.",sudah berlangganan tahun tapi diminta berlangganan saat mau nonton,"['sudah', 'berlangganan', 'tahun', 'tapi', 'diminta', 'berlangganan', 'saat', 'mau', 'nonton']",9,"['berlangganan', 'berlangganan', 'nonton']",3,"['langgan', 'langgan', 'nonton']",langgan langgan nonton,4,5,Positif
"Aplikasinya bagus, Hanya saja terkadang ada beberapa bug seperti freeze, cuman tolong untuk kualitas videonya lebih di pertahankan hanya ada 3 opsi dan sekalipun pilih yang paling baik terkadang ada noise dan blur pada series/film, padahal jaringan lancar lancar saja, semoga lebih diperhatikan.",3,2022-12-27 14:56:14,"Aplikasinya bagus, Hanya saja terkadang ada beberapa bug seperti freeze, cuman tolong untuk kualitas videonya lebih di pertahankan hanya ada 3 opsi dan sekalipun pilih yang paling baik terkadang ada noise dan blur pada series/film, padahal jaringan lancar lancar saja, semoga lebih diperhatikan.",aplikasinya bagus hanya saja terkadang ada beberapa bug seperti freeze cuman tolong untuk kualitas videonya lebih di pertahankan hanya ada opsi dan sekalipun pilih yang paling baik terkadang ada noise dan blur pada seriesfilm padahal jaringan lancar lancar saja semoga lebih diperhatikan,"['aplikasinya', 'bagus', 'hanya', 'saja', 'terkadang', 'ada', 'beberapa', 'bug', 'seperti', 'freeze', 'cuman', 'tolong', 'untuk', 'kualitas', 'videonya', 'lebih', 'di', 'pertahankan', 'hanya', 'ada', 'opsi', 'dan', 'sekalipun', 'pilih', 'yang', 'paling', 'baik', 'terkadang', 'ada', 'noise', 'dan', 'blur', 'pada', 'seriesfilm', 'padahal', 'jaringan', 'lancar', 'lancar', 'saja', 'semoga', 'lebih', 'diperhatikan']",42,"['aplikasinya', 'terkadang', 'bug', 'freeze', 'cuman', 'kualitas', 'videonya', 'pertahankan', 'opsi', 'pilih', 'terkadang', 'noise', 'blur', 'seriesfilm', 'jaringan', 'lancar', 'lancar', 'semoga', 'diperhatikan']",19,"['aplikasi', 'terkadang', 'bug', 'freeze', 'cuman', 'kualitas', 'video', 'tahan', 'opsi', 'pilih', 'terkadang', 'noise', 'blur', 'seriesfilm', 'jaring', 'lancar', 'lancar', 'moga', 'perhati']",aplikasi terkadang bug freeze cuman kualitas video tahan opsi pilih terkadang noise blur seriesfilm jaring lancar lancar moga perhati,-2,2,Negatif
Good,5,2022-12-27 13:56:09,Bagus,bagus,['bagus'],1,[],0,[],,0,3,Netral
"Saya sudah memilih paket berlangganan 1 tahun, tetapi ketika ingin menonton film saya diminta untuk berlangganan kembali. Ketika memilih paket 1 tahun tidak bisa karena anda sudah berlangganan.",2,2022-12-27 13:39:08,"Saya sudah memilih paket berlangganan 1 tahun, tetapi ketika ingin menonton film saya diminta untuk berlangganan kembali. Ketika memilih paket 1 tahun tidak bisa karena anda sudah berlangganan.",saya sudah memilih paket berlangganan tahun tetapi ketika ingin menonton film saya diminta untuk berlangganan kembali ketika memilih paket tahun tidak bisa karena anda sudah berlangganan,"['saya', 'sudah', 'memilih', 'paket', 'berlangganan', 'tahun', 'tetapi', 'ketika', 'ingin', 'menonton', 'film', 'saya', 'diminta', 'untuk', 'berlangganan', 'kembali', 'ketika', 'memilih', 'paket', 'tahun', 'tidak', 'bisa', 'karena', 'anda', 'sudah', 'berlangganan']",26,"['memilih', 'paket', 'berlangganan', 'menonton', 'film', 'berlangganan', 'memilih', 'paket', 'berlangganan']",9,"['pilih', 'paket', 'langgan', 'tonton', 'film', 'langgan', 'pilih', 'paket', 'langgan']",pilih paket langgan tonton film langgan pilih paket langgan,6,5,Positif
Ga bisa distel di tv android,1,2022-12-27 13:00:55,Ga bisa distel di tv android,ga bisa distel di tv android,"['ga', 'bisa', 'distel', 'di', 'tv', 'android']",6,"['distel', 'tv', 'android']",3,"['distel', 'tv', 'android']",distel tv android,0,3,Netral
"Udah pake wifi tapi malah lag, tolong perbaiki aplikasinya...",1,2022-12-27 12:37:02,"Udah pake wifi tapi malah lag, tolong perbaiki aplikasinya...",udah pake wifi tapi malah lag tolong perbaiki aplikasinya,"['udah', 'pake', 'wifi', 'tapi', 'malah', 'lag', 'tolong', 'perbaiki', 'aplikasinya']",9,"['pake', 'wifi', 'lag', 'perbaiki', 'aplikasinya']",5,"['pake', 'wifi', 'lag', 'baik', 'aplikasi']",pake wifi lag baik aplikasi,-5,1,Negatif
"Bagus nih aplikasi,tapi kalo ada stranger think lebih mantap nih aplikasi",4,2022-12-27 12:32:24,"Bagus nih aplikasi,tapi kalo ada stranger think lebih mantap nih aplikasi",bagus nih aplikasitapi kalo ada stranger think lebih mantap nih aplikasi,"['bagus', 'nih', 'aplikasitapi', 'kalo', 'ada', 'stranger', 'think', 'lebih', 'mantap', 'nih', 'aplikasi']",11,"['nih', 'aplikasitapi', 'kalo', 'stranger', 'think', 'mantap', 'nih']",7,"['nih', 'aplikasitapi', 'kalo', 'stranger', 'think', 'mantap', 'nih']",nih aplikasitapi kalo stranger think mantap nih,5,5,Positif
Mantapppp,5,2022-12-27 09:58:52,Mantapppp,mantapppp,['mantapppp'],1,['mantapppp'],1,['mantapppp'],mantapppp,0,3,Netral
perbanyak lagi film² nya kaka 👍,5,2022-12-27 04:21:58,perbanyak lagi film² nya kaka 👍,perbanyak lagi film² nya kaka 👍,"['perbanyak', 'lagi', 'film²', 'nya', 'kaka', '👍']",6,"['perbanyak', 'film²', 'kaka', '👍']",4,"['banyak', 'film', 'kaka', '']",banyak film kaka ,-3,2,Negatif
Fiturnya keren tapi kenapa saya ga bisa nonton saluran saya yah?,5,2022-12-27 02:18:56,Fiturnya keren tapi kenapa saya ga bisa nonton saluran saya yah?,fiturnya keren tapi kenapa saya ga bisa nonton saluran saya yah,"['fiturnya', 'keren', 'tapi', 'kenapa', 'saya', 'ga', 'bisa', 'nonton', 'saluran', 'saya', 'yah']",11,"['fiturnya', 'keren', 'nonton', 'saluran', 'yah']",5,"['fiturnya', 'keren', 'nonton', 'salur', 'yah']",fiturnya keren nonton salur yah,0,3,Netral
Tidak mendapat kode Verifikasi jd tidak bisa login,1,2022-12-26 16:08:40,Tidak mendapat kode Verifikasi jd tidak bisa login,tidak mendapat kode verifikasi jd tidak bisa login,"['tidak', 'mendapat', 'kode', 'verifikasi', 'jd', 'tidak', 'bisa', 'login']",8,"['kode', 'verifikasi', 'jd', 'login']",4,"['kode', 'verifikasi', 'jd', 'login']",kode verifikasi jd login,-3,2,Negatif
Aplikasi error tidak bisa play movie sejak 2 hari ini,1,2022-12-26 15:01:52,Aplikasi error tidak bisa play movie sejak 2 hari ini,aplikasi error tidak bisa play movie sejak hari ini,"['aplikasi', 'error', 'tidak', 'bisa', 'play', 'movie', 'sejak', 'hari', 'ini']",9,"['error', 'play', 'movie']",3,"['error', 'play', 'movie']",error play movie,-5,1,Negatif
Tidak bisa login di tv,1,2022-12-26 13:46:21,Tidak bisa login di tv,tidak bisa login di tv,"['tidak', 'bisa', 'login', 'di', 'tv']",5,"['login', 'tv']",2,"['login', 'tv']",login tv,0,3,Netral
ok,5,2022-12-26 12:47:30,Oke,oke,['oke'],1,['oke'],1,['oke'],oke,2,4,Positif
Kok jadi lemot ya...padahal sdh didownload filmnya,1,2022-12-26 11:41:58,Kok jadi lemot ya...padahal sdh didownload filmnya,kok jadi lemot yapadahal sdh didownload filmnya,"['kok', 'jadi', 'lemot', 'yapadahal', 'sdh', 'didownload', 'filmnya']",7,"['lemot', 'yapadahal', 'sdh', 'didownload', 'filmnya']",5,"['lot', 'yapadahal', 'sdh', 'didownload', 'film']",lot yapadahal sdh didownload film,-5,1,Negatif
Baik apklikasinya,4,2022-12-26 04:41:49,Baik apklikasinya,baik apklikasinya,"['baik', 'apklikasinya']",2,['apklikasinya'],1,['apklikasinya'],apklikasinya,0,3,Netral
Ga bisa log in,4,2022-12-26 03:18:22,Ga bisa log in,ga bisa log in,"['ga', 'bisa', 'log', 'in']",4,"['log', 'in']",2,"['log', 'in']",log in,0,3,Netral
"kenapa kita harus membayar untuk menonton video? saya kecewa😠😠.apk gak guna,",1,2022-12-26 02:06:37,"kenapa kita harus membayar untuk menonton video? saya kecewa😠😠.apk gak guna,",kenapa kita harus membayar untuk menonton video saya kecewa😠😠apk gak guna,"['kenapa', 'kita', 'harus', 'membayar', 'untuk', 'menonton', 'video', 'saya', 'kecewa😠😠apk', 'gak', 'guna']",11,"['membayar', 'menonton', 'video', 'kecewa😠😠apk']",4,"['bayar', 'tonton', 'video', 'kecewa apk']",bayar tonton video kecewa apk,-7,1,Negatif
Awal download sih masih bagus tapi setelah 7 hari pemakaian masa jadi ada iklan kalau iklannya sedikit sih gapapa tapi ini iklannya kebangetan masa setiap 1 menit iklan kalau gitu mending gausah berlangganan Disney mending netflix,1,2022-12-26 00:49:47,Awal download sih masih bagus tapi setelah 7 hari pemakaian masa jadi ada iklan kalau iklannya sedikit sih gapapa tapi ini iklannya kebangetan masa setiap 1 menit iklan kalau gitu mending gausah berlangganan Disney mending netflix,awal download sih masih bagus tapi setelah hari pemakaian masa jadi ada iklan kalau iklannya sedikit sih gapapa tapi ini iklannya kebangetan masa setiap menit iklan kalau gitu mending gausah berlangganan disney mending netflix,"['awal', 'download', 'sih', 'masih', 'bagus', 'tapi', 'setelah', 'hari', 'pemakaian', 'masa', 'jadi', 'ada', 'iklan', 'kalau', 'iklannya', 'sedikit', 'sih', 'gapapa', 'tapi', 'ini', 'iklannya', 'kebangetan', 'masa', 'setiap', 'menit', 'iklan', 'kalau', 'gitu', 'mending', 'gausah', 'berlangganan', 'disney', 'mending', 'netflix']",34,"['download', 'sih', 'pemakaian', 'iklan', 'iklannya', 'sih', 'gapapa', 'iklannya', 'kebangetan', 'menit', 'iklan', 'gitu', 'mending', 'gausah', 'berlangganan', 'mending', 'netflix']",17,"['download', 'sih', 'pakai', 'iklan', 'iklan', 'sih', 'gapapa', 'iklan', 'banget', 'menit', 'iklan', 'gitu', 'mending', 'gausah', 'langgan', 'mending', 'netflix']",download sih pakai iklan iklan sih gapapa iklan banget menit iklan gitu mending gausah langgan mending netflix,-7,1,Negatif
Kok udah berlangganan melalui beli paket data di My Telkomsel tp tetep harus berlangganan lg? Sebelum2 g begini... Sedikit kecewa sih,2,2022-12-26 00:21:48,Kok udah berlangganan melalui beli paket data di My Telkomsel tp tetep harus berlangganan lg? Sebelum2 g begini... Sedikit kecewa sih,kok udah berlangganan melalui beli paket data di my telkomsel tp tetep harus berlangganan lg sebelum g begini sedikit kecewa sih,"['kok', 'udah', 'berlangganan', 'melalui', 'beli', 'paket', 'data', 'di', 'my', 'telkomsel', 'tp', 'tetep', 'harus', 'berlangganan', 'lg', 'sebelum', 'g', 'begini', 'sedikit', 'kecewa', 'sih']",21,"['berlangganan', 'beli', 'paket', 'data', 'my', 'telkomsel', 'tp', 'tetep', 'berlangganan', 'lg', 'g', 'kecewa', 'sih']",13,"['langgan', 'beli', 'paket', 'data', 'my', 'telkomsel', 'tp', 'tetep', 'langgan', 'lg', 'g', 'kecewa', 'sih']",langgan beli paket data my telkomsel tp tetep langgan lg g kecewa sih,2,4,Positif
Resolusi udah paling tinggi tapi layarnya tetep ga HD,3,2022-12-25 20:18:46,Resolusi udah paling tinggi tapi layarnya tetep ga HD,resolusi udah paling tinggi tapi layarnya tetep ga hd,"['resolusi', 'udah', 'paling', 'tinggi', 'tapi', 'layarnya', 'tetep', 'ga', 'hd']",9,"['resolusi', 'layarnya', 'tetep', 'hd']",4,"['resolusi', 'layar', 'tetep', 'hd']",resolusi layar tetep hd,3,4,Positif
Kok film amazing spederman ngak ada bahasa indonesia nya,1,2022-12-25 19:57:58,Kok film amazing spederman ngak ada bahasa indonesia nya,kok film amazing spederman ngak ada bahasa indonesia nya,"['kok', 'film', 'amazing', 'spederman', 'ngak', 'ada', 'bahasa', 'indonesia', 'nya']",9,"['film', 'amazing', 'spederman', 'ngak', 'bahasa', 'indonesia']",6,"['film', 'amazing', 'spederman', 'ngak', 'bahasa', 'indonesia']",film amazing spederman ngak bahasa indonesia,-4,1,Negatif
Yg mau jawab plis dong disini ada serial india anupama gk,1,2022-12-25 18:58:34,Yg mau jawab plis dong disini ada serial india anupama gk,yg mau jawab plis dong disini ada serial india anupama gk,"['yg', 'mau', 'jawab', 'plis', 'dong', 'disini', 'ada', 'serial', 'india', 'anupama', 'gk']",11,"['plis', 'serial', 'india', 'anupama', 'gk']",5,"['plis', 'serial', 'india', 'anupama', 'gk']",plis serial india anupama gk,0,3,Netral
Tolong ada kan pengaturan utk autoplay atau menonaktifkan autoplay nya,1,2022-12-25 15:34:37,Tolong ada kan pengaturan utk autoplay atau menonaktifkan autoplay nya,tolong ada kan pengaturan utk autoplay atau menonaktifkan autoplay nya,"['tolong', 'ada', 'kan', 'pengaturan', 'utk', 'autoplay', 'atau', 'menonaktifkan', 'autoplay', 'nya']",10,"['pengaturan', 'utk', 'autoplay', 'menonaktifkan', 'autoplay']",5,"['atur', 'utk', 'autoplay', 'nonaktif', 'autoplay']",atur utk autoplay nonaktif autoplay,-4,1,Negatif
"Kenapa sering ngeblankng bisa d lihat ya,buat apa langganan tahunan klo g bisa",2,2022-12-25 13:35:54,"Kenapa sering ngeblankng bisa d lihat ya,buat apa langganan tahunan klo g bisa",kenapa sering ngeblankng bisa d lihat yabuat apa langganan tahunan klo g bisa,"['kenapa', 'sering', 'ngeblankng', 'bisa', 'd', 'lihat', 'yabuat', 'apa', 'langganan', 'tahunan', 'klo', 'g', 'bisa']",13,"['ngeblankng', 'd', 'lihat', 'yabuat', 'langganan', 'tahunan', 'klo', 'g']",8,"['ngeblankng', 'd', 'lihat', 'yabuat', 'langgan', 'tahun', 'klo', 'g']",ngeblankng d lihat yabuat langgan tahun klo g,5,5,Positif
Flim nya tambahin lagi min saran saya 🤣,4,2022-12-25 11:46:39,Flim nya tambahin lagi min saran saya 🤣,flim nya tambahin lagi min saran saya 🤣,"['flim', 'nya', 'tambahin', 'lagi', 'min', 'saran', 'saya', '🤣']",8,"['flim', 'tambahin', 'min', 'saran', '🤣']",5,"['flim', 'tambahin', 'min', 'saran', '']",flim tambahin min saran ,-3,2,Negatif
"Sudah berlangganan tapi tidak bisa nonton film hanya layar hitam saja yang kelihatan tapi kalau nonton trailer lancar2 aja, itu maksudnya gimana ya, jadi merasa tertipu saya°^°",1,2022-12-25 11:24:27,"Sudah berlangganan tapi tidak bisa nonton film hanya layar hitam saja yang kelihatan tapi kalau nonton trailer lancar2 aja, itu maksudnya gimana ya, jadi merasa tertipu saya°^°",sudah berlangganan tapi tidak bisa nonton film hanya layar hitam saja yang kelihatan tapi kalau nonton trailer lancar aja itu maksudnya gimana ya jadi merasa tertipu saya°°,"['sudah', 'berlangganan', 'tapi', 'tidak', 'bisa', 'nonton', 'film', 'hanya', 'layar', 'hitam', 'saja', 'yang', 'kelihatan', 'tapi', 'kalau', 'nonton', 'trailer', 'lancar', 'aja', 'itu', 'maksudnya', 'gimana', 'ya', 'jadi', 'merasa', 'tertipu', 'saya°°']",27,"['berlangganan', 'nonton', 'film', 'layar', 'hitam', 'nonton', 'trailer', 'lancar', 'maksudnya', 'gimana', 'tertipu', 'saya°°']",12,"['langgan', 'nonton', 'film', 'layar', 'hitam', 'nonton', 'trailer', 'lancar', 'maksud', 'gimana', 'tipu', 'saya']",langgan nonton film layar hitam nonton trailer lancar maksud gimana tipu saya,-8,1,Negatif
Tolong tambahkan lagi koleksi ANIME pada aplikasi ini,5,2022-12-25 07:52:05,Tolong tambahkan lagi koleksi ANIME pada aplikasi ini,tolong tambahkan lagi koleksi anime pada aplikasi ini,"['tolong', 'tambahkan', 'lagi', 'koleksi', 'anime', 'pada', 'aplikasi', 'ini']",8,"['tambahkan', 'koleksi', 'anime']",3,"['tambah', 'koleksi', 'anime']",tambah koleksi anime,4,5,Positif
